hanzi_sc,hanzi_trad,pinyin,pinyin_style2,level,level_zh,cc_cedict_definitions,Group
的,的,de,de,1,初等|一级,(bound form) bull's-eye; target,Group 1
了,了瞭,le,le,1,初等|一级,unofficial variant of 瞭[liao4],Group 1
在,在,zài,zai4,1,初等|一级,to exist; to be alive/(of sb or sth) to be (located) at/(used before a verb to indicate an action in progress),Group 1
是,是,shì,shi4,1,初等|一级,variant of 是[shi4],Group 1
我,我,wǒ,wo3,1,初等|一级,I; me; my,Group 1
一,一,yī,yi1,1,初等|一级,"one/single/a (article)/as soon as/entire; whole; all; throughout/""one"" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit",Group 1
有,有,yǒu,you3,1,初等|一级,to have; there is/(bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional),Group 1
他,他,tā,ta1,1,初等|一级,he; him (used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/(literary) other,Group 1
这,這,zhè,zhe4,1,初等|一级,"(pronoun) this; these/(bound form) this; the (followed by a noun)/(bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)",Group 1
个,個,gè,ge4,1,初等|一级,variant of 個|个[ge4],Group 1
和,和,hé,he2,1,初等|一级,old variant of 和[he2]/harmonious,Group 2
不,不,bù,bu4,1,初等|一级,no; not so/(bound form) not; un-,Group 2
就,就,jiù,jiu4,1,初等|一级,(after a suppositional clause) in that case; then/(after a clause of action) as soon as; immediately after/(same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly/only; as little as/as much as; as many as/to approach; to move towards/to undertake; to engage in/(often followed by 著|着[zhe5]) taking advantage of/(of food) to go with/with regard to; concerning/(pattern: 就[jiu4] ... 也[ye3] ...) even if ... still .../(pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...,Group 2
也,也,yě,ye3,1,初等|一级,(adverb) also; both ... and ... (before predicates only)/(literary) particle having functions similar to 啊[a5],Group 2
人,人,rén,ren2,1,初等|一级,"person; people/CL:個|个[ge4],位[wei4]",Group 2
你,你,nǐ,ni3,1,初等|一级,"you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.)",Group 2
说,說,shuō,shuo1,1,初等|一级,variant of 說|说[shuo1],Group 2
们,們,men,men,1,初等|一级,"plural marker for pronouns, and nouns referring to individuals",Group 2
上,上,shàng,shang4,1,初等|一级,(bound form) up; upper; above; previous/first (of multiple parts)/to climb; to get onto; to go up/to attend (class or university)/(directional complement) up/(noun suffix) on; above,Group 2
都,都,dōu,dou1,1,初等|一级,capital city/metropolis,Group 2
对,對,duì,dui4,1,初等|一级,right; correct/towards; at; for/concerning; regarding/to treat (sb a certain way)/to face/(bound form) opposite; facing; matching/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare/classifier: couple; pair,Group 2
要,要,yào,yao4,1,初等|一级,to want; to need; to ask for/will; shall; about to/need to; should/if (same as 要是[yao4 shi5])/(bound form) important,Group 2
点,點,diǎn,dian3,1,初等|一级,point/dot/drop/speck/o'clock/point (in space or time)/to draw a dot/to check on a list/to choose/to order (food in a restaurant)/to touch briefly/to hint/to light/to ignite/to pour a liquid drop by drop/(old) one fifth of a two-hour watch 更[geng1]/dot stroke in Chinese characters/classifier for items,Group 2
到,到,dào,dao4,1,初等|一级,to reach; to arrive/to leave for; to go to/to (a place); until (a time); up to (a point)/(verb complement indicating arriving at a place or reaching a point)/considerate; thoughtful; thorough,Group 2
多,多,duō,duo1,1,初等|一级,many; much/too many; in excess/(after a numeral) ... odd/how (to what extent) (Taiwan pr. [duo2])/(bound form) multi-; poly-,Group 2
会,會,huì,hui4,1,初等|一级,to balance an account/accounting/accountant,Group 2
着,著,zhe,zhe,1,初等|一级,to wear (clothes)/to contact/to use/to apply,Group 3
来,來,lái,lai2,1,初等|一级,"to come/(used as a substitute for a more specific verb)/hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5])/ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2])/for the past (amount of time)/(prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4])/(between two verbs) in order to/(after a round number) approximately/(used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])",Group 3
她,她,tā,ta1,1,初等|一级,she,Group 3
还,還,hái,hai2,1,初等|一级,to pay back/to return,Group 3
没,沒,méi,mei2,1,初等|一级,drowned/to end/to die/to inundate,Group 3
很,很,hěn,hen3,1,初等|一级,(adverb of degree)/quite/very/awfully,Group 3
好,好,hǎo,hao3,1,初等|一级,to be fond of; to have a tendency to; to be prone to,Group 3
中,中,zhōng,zhong1,1,初等|一级,"to hit (the mark)/to be hit by/to suffer/to win (a prize, a lottery)",Group 3
年,秊年,nián,nian2,1,初等|一级,grain/harvest (old)/variant of 年[nian2],Group 3
大,大,dà,da4,1,初等|一级,see 大夫[dai4 fu5],Group 3
给,給,gěi,gei3,1,初等|一级,to supply/to provide,Group 3
从,從,cóng,cong2,1,初等|一级,from; through; via/(bound form) to follow/(bound form) to obey/(bound form) to engage in (an activity)/(used before a negative) ever/(bound form) (Taiwan pr. [zong4]) retainer; attendant/(bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate/(bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor,Group 3
看,看,kàn,kan4,1,初等|一级,to see; to look at/to read/to watch/to visit; to call on/to consider; to regard as/to look after/to treat (a patient or illness)/to depend on/to feel (that)/(after a verb) to give it a try/to watch out for,Group 3
去,去,qù,qu4,1,初等|一级,to go/to go to (a place)/(of a time etc) last/just passed/to send/to remove/to get rid of/to reduce/to be apart from in space or time/to die (euphemism)/to play (a part)/(when used either before or after a verb) to go in order to do sth/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation),Group 4
能,能,néng,neng2,1,初等|一级,can/to be able to/might possibly/ability/(physics) energy,Group 4
两,兩,liǎng,liang3,1,初等|一级,"two/both/some/a few/tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)",Group 4
下,下,xià,xia4,1,初等|一级,"down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)/measure word to show the frequency of an action",Group 4
